state_name,district_name,crop_year,season,crop,area,production,matched_state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Bihar,BEGUSARAI,2011,Rabi,Barley,31.0,21.0,Bihar,4.2,7.7,9.2,23.9,74.5,211.0,241.1,278.7,234.1,10.0,2.0,0.9,1097.1,11.8,107.6,964.8,12.9
Tripura,GOMATI,2012,Rabi,Masoor,8.0,8.0,,,,,,,,,,,,,,,,,,
Bihar,BHAGALPUR,2004,Rabi,Barley,1849.0,1069.0,Bihar,22.7,2.1,2.2,32.0,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0.0,1147.8,24.8,107.0,956.4,59.5
West Bengal,MALDAH,2003,Whole Year,Sugarcane,3620.0,268581.0,Gangetic West Bengal,0.5,11.7,70.0,36.3,81.9,280.5,253.4,239.3,155.0,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Punjab,FARIDKOT,2013,Kharif,Rice,104000.0,443000.0,Punjab,9.3,50.1,11.6,3.4,3.6,120.3,117.9,217.1,24.4,16.2,6.1,6.6,586.6,59.4,18.6,479.7,28.9
Andaman And Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Dry chillies,370.7,877.6,Andaman & Nicobar Islands,0.0,0.0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,2954.7,0.0,376.8,1700.4,877.5
Karnataka,TUMKUR,2005,Rabi,Horse-gram,2171.0,1029.0,Coastal Karnataka,0.5,0.2,0.0,72.5,45.0,821.6,1177.3,692.0,456.2,178.7,24.6,2.3,3470.9,0.6,117.5,3147.2,205.6
Andhra Pradesh,GUNTUR,2004,Kharif,Sesamum,8839.0,3323.0,Coastal Andhra Pradesh,24.0,11.4,11.6,40.1,57.6,152.8,192.1,125.0,101.7,147.9,9.4,0.2,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,PRAKASAM,2013,Kharif,Moong(Green Gram),3696.0,1460.0,Coastal Andhra Pradesh,2.0,29.6,0.2,48.0,28.2,127.5,162.4,123.1,132.0,411.5,53.1,2.8,1120.5,31.7,76.4,545.0,467.4
Chhattisgarh,KABIRDHAM,2005,Kharif,Arhar/Tur,4218.0,1611.0,Chhattisgarh,57.6,15.6,6.1,6.5,16.4,197.0,393.8,267.7,240.5,83.5,1.6,1.0,1287.2,73.2,29.0,1099.0,86.1
